Time (s),Upstream (V),Downstream (V)
32.467,0.27374,0.1564
32.5,0.27501,0.1513
32.533,0.26992,0.14621
32.567,0.26864,0.15003
32.6,0.29156,0.14748
32.633,0.27628,0.15258
32.667,0.27756,0.1513
32.7,0.27628,0.15512
32.733,0.26355,0.14366
32.767,0.26864,0.10164
32.8,0.26864,0.1513
32.833,0.25973,0.15003
32.867,0.25846,0.14876
32.9,0.24827,0.15512
32.933,0.24318,0.14621
32.967,0.26228,0.1513
33,0.26101,0.15894
33.033,0.26864,0.14621
33.067,0.26483,0.15512
33.1,0.26737,0.15258
33.133,0.26101,0.14366
33.167,0.25846,0.14621
33.2,0.25209,0.15512
33.233,0.24827,0.15258
33.267,0.26228,0.1564
33.3,0.26355,0.15767
33.333,0.27246,0.15385
33.367,0.27628,0.15258
33.4,0.28265,0.15258
33.433,0.27246,0.15385
33.467,0.26992,0.14621
33.5,0.27246,0.15258
33.533,0.25846,0.14876
33.567,0.26483,0.14621
33.6,0.25846,0.15258
33.633,0.27246,0.13475
33.667,0.26992,0.15003
33.7,0.26992,0.15258
33.733,0.2661,0.14621
33.767,0.27501,0.15512
33.8,0.26737,0.16022
33.833,0.29029,0.15512
33.867,0.2801,0.15385
33.9,0.27501,0.16531
33.933,0.2992,0.15894
33.967,0.29283,0.15512
34,0.28138,0.16404
34.033,0.27501,0.14494
34.067,0.28902,0.1513
34.1,0.28392,0.15258
34.133,0.2801,0.1564
34.167,0.28138,0.15512
34.2,0.28647,0.1564
34.233,0.27628,0.12838
34.267,0.27628,0.14748
34.3,0.28647,0.14876
34.333,0.27756,0.1513
34.367,0.27501,0.15258
34.4,0.26992,0.15003
34.433,0.28265,0.14112
34.467,0.26864,0.13984
34.5,0.27756,0.13984
34.533,0.27756,0.1373
34.567,0.27628,0.14239
34.6,0.27119,0.14748
34.633,0.26737,0.14621
34.667,0.27119,0.12074
34.7,0.2661,0.1513
34.733,0.27119,0.14366
34.767,0.26483,0.14494
34.8,0.28265,0.14748
34.833,0.26864,0.15003
34.867,0.27374,0.15385
34.9,0.26864,0.16658
34.933,0.26228,0.1564
34.967,0.25591,0.15894
35,0.25846,0.15894
35.033,0.25082,0.1564
35.067,0.25846,0.15767
35.1,0.26864,0.15003
35.133,0.27374,0.15258
35.167,0.27246,0.14876
35.2,0.27119,0.14621
35.233,0.26101,0.14621
35.267,0.25337,0.14876
35.3,0.26228,0.14112
35.333,0.25337,0.15003
35.367,0.26992,0.14876
35.4,0.2661,0.14366
35.433,0.26483,0.1564
35.467,0.26355,0.14621
35.5,0.25464,0.14748
35.533,0.26101,0.14876
35.567,0.25464,0.14621
35.6,0.26101,0.15003
35.633,0.25591,0.15258
35.667,0.24955,0.14621
35.7,0.25337,0.11947
35.733,0.25209,0.15258
35.767,0.24445,0.14112
35.8,0.24955,0.15512
35.833,0.27246,0.15258
35.867,0.27246,0.14494
35.9,0.2801,0.14748
35.933,0.26737,0.14621
35.967,0.25464,0.15003
36,0.25591,0.15385
36.033,0.26101,0.16022
36.067,0.25846,0.15258
36.1,0.26864,0.16149
36.133,0.26864,0.15003
36.167,0.26864,0.15003
36.2,0.26228,0.1564
36.233,0.26483,0.16276
36.267,0.25846,0.14748
36.3,0.25464,0.15258
36.333,0.26737,0.15512
36.367,0.25846,0.15385
36.4,0.25973,0.15385
36.433,0.25082,0.16149
36.467,0.25209,0.1564
36.5,0.247,0.15512
36.533,0.26355,0.15512
36.567,0.25082,0.14239
36.6,0.25846,0.15003
36.633,0.27756,0.15767
36.667,0.27374,0.1513
36.7,0.2661,0.1564
36.733,0.26355,0.15767
36.767,0.27246,0.15258
36.8,0.26483,0.14494
36.833,0.28265,0.1513
36.867,0.27374,0.14876
36.9,0.25846,0.14748
36.933,0.26992,0.14748
36.967,0.26992,0.15003
37,0.2801,0.1564
37.033,0.27119,0.16276
37.067,0.28392,0.15767
37.1,0.2852,0.15767
37.133,0.26992,0.1564
37.167,0.27374,0.13857
37.2,0.26355,0.1513
37.233,0.26355,0.14748
37.267,0.25337,0.14876
37.3,0.25719,0.1564
37.333,0.25209,0.15894
37.367,0.26737,0.15258
37.4,0.26228,0.15003
37.433,0.26864,0.14621
37.467,0.26992,0.13857
37.5,0.27628,0.14494
37.533,0.26992,0.14239
37.567,0.27119,0.14621
37.6,0.26864,0.13475
37.633,0.2801,0.14112
37.667,0.27756,0.14748
37.7,0.26737,0.14112
37.733,0.27501,0.1564
37.767,0.2661,0.14876
37.8,0.27119,0.14621
37.833,0.26737,0.14748
37.867,0.26992,0.1513
37.9,0.26228,0.15258
37.933,0.28138,0.15385
37.967,0.28392,0.1564
38,0.2852,0.14876
38.033,0.28902,0.15003
38.067,0.28902,0.15767
38.1,0.29156,0.15003
38.133,0.28392,0.1564
38.167,0.27756,0.16786
38.2,0.26992,0.12711
38.233,0.27883,0.1513
38.267,0.27374,0.1564
38.3,0.27119,0.13984
38.333,0.26355,0.13602
38.367,0.26228,0.13348
38.4,0.26355,0.14876
38.433,0.26355,0.14239
38.467,0.26101,0.13984
38.5,0.25337,0.14876
38.533,0.25719,0.15385
38.567,0.26228,0.15385
38.6,0.26483,0.15512
38.633,0.26228,0.14621
38.667,0.26737,0.15767
38.7,0.26737,0.14239
38.733,0.26864,0.14748
38.767,0.26864,0.1513
38.8,0.27246,0.14494
38.833,0.27374,0.13475
38.867,0.27246,0.1564
38.9,0.2852,0.14621
38.933,0.28392,0.14494
38.967,0.27628,0.15003
39,0.27374,0.13857
39.033,0.27628,0.13857
39.067,0.27628,0.14366
39.1,0.27119,0.13602
39.133,0.25719,0.15258
39.167,0.25591,0.14366
39.2,0.25591,0.14239
39.233,0.25846,0.14366
39.267,0.26355,0.14494
39.3,0.24955,0.14239
39.333,0.25846,0.15767
39.367,0.24827,0.16149
39.4,0.25973,0.1513
39.433,0.25337,0.15385
39.467,0.25973,0.14621
39.5,0.24827,0.1513
39.533,0.25973,0.15003
39.567,0.27374,0.15512
39.6,0.26483,0.14621
39.633,0.26864,0.14876
39.667,0.26228,0.12838
39.7,0.2661,0.15003
39.733,0.25846,0.15767
39.767,0.27756,0.1513
39.8,0.27374,0.1513
39.833,0.27374,0.14621
39.867,0.27501,0.14621
39.9,0.27246,0.15258
39.933,0.27119,0.15258
39.967,0.26228,0.14621
40,0.27374,0.1513
40.033,0.26737,0.14621
40.067,0.28392,0.14748
40.1,0.27374,0.14112
40.133,0.27374,0.14239
40.167,0.27628,0.15003
40.2,0.26864,0.14876
40.233,0.27374,0.1513
40.267,0.27119,0.14621
40.3,0.27374,0.14621
40.333,0.26101,0.15003
40.367,0.25591,0.15258
40.4,0.25082,0.14876
40.433,0.27374,0.14748
40.467,0.27756,0.1513
40.5,0.27756,0.14621
40.533,0.27628,0.14366
40.567,0.28265,0.15003
40.6,0.28774,0.15003
40.633,0.2852,0.15512
40.667,0.26864,0.15512
40.7,0.26355,0.15258
40.733,0.26483,0.15258
40.767,0.26864,0.15003
40.8,0.2661,0.14876
40.833,0.26483,0.15385
40.867,0.26737,0.1513
40.9,0.27374,0.15894
40.933,0.26483,0.15003
40.967,0.27374,0.14494
41,0.26737,0.15385
41.033,0.25464,0.1513
41.067,0.25464,0.15385
41.1,0.25591,0.15767
41.133,0.25591,0.13093
41.167,0.25973,0.14239
41.2,0.26355,0.1564
41.233,0.25846,0.15003
41.267,0.25591,0.14621
41.3,0.26355,0.15003
41.333,0.26228,0.14366
41.367,0.25591,0.1564
41.4,0.27119,0.14494
41.433,0.25973,0.14748
41.467,0.26992,0.14239
41.5,0.27501,0.14621
41.533,0.26355,0.13857
41.567,0.25973,0.12838
41.6,0.26483,0.14112
41.633,0.25082,0.14239
41.667,0.24955,0.14366
41.7,0.25846,0.15003
41.733,0.25337,0.13984
41.767,0.25973,0.14748
41.8,0.26101,0.14621
41.833,0.26992,0.13602
